stage,Epithelial,Erythroid,Germ,Immune,Secretory,Stromal
24hpf,0,0,0,12.26,0,0
72hpf,0,0,0,1.07,0,0
21Day,0,0,0,10.71,0,0
3Month,4.16,0.32,0.64,68.79,1.6,0.96
22Month,0,0,0,24.05,0,0
