stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
72hpf,0,0,0,0,0,3.21,0,1.07
21Day,0,0,2.68,0,0,0,0,0
3Month,0.32,0.32,0,7.68,0.32,0,0.32,0
