stage,Epithelial,Erythroid,Germ,Immune,Neuron
24hpf,0,0,0,0,4.09
72hpf,1.07,0,0,0,19.26
21Day,1.34,1.34,0,1.34,37.48
3Month,0.32,0,0.32,0,0.96
22Month,4.92,0,0,0,0
