stage,Endothelial,Epithelial,Germ,Immune,Stromal
72hpf,0,4.28,0,0,0
21Day,1.34,5.35,0,0,2.68
3Month,0,1.6,0.32,0.64,0
22Month,0,1.64,0,0,0
