stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Secretory
24hpf,4.09,0,0,0,4.09,0
72hpf,0,1.07,0,0,7.49,0
21Day,0,2.68,0,0,1.34,0
3Month,0,2.24,34.23,0.32,0.32,0.32
22Month,0,1.09,0,0,0,0
