stage,Endothelial,Epithelial,Germ,Neuron,Other,Secretory
24hpf,0,0,0,4.09,0,0
72hpf,0,0,0,1.07,0,0
3Month,0,2.88,0.32,0,0,0
22Month,0.55,5.47,0.55,0,0.55,0.55
