stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Stromal
24hpf,0,0,0,0,8.17,0,4.09
72hpf,0,2.14,0,0,2.14,0,2.14
22Month,2.19,22.41,179.3,6.01,0,2.73,1.09
