stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,32.69,0,0,4.09
72hpf,1.07,3.21,0,13.91,0,0,6.42
21Day,0,2.68,2.68,10.71,0,1.34,4.02
3Month,0,2.24,0.32,0,0,0,0
22Month,0,0,1.09,0,0.55,0,0
