stage,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,0,0
21Day,8.03,0,13.39,0,0,0,0
3Month,3.52,0.32,1.6,0,0,0,0.32
22Month,16.95,0.55,3.28,0,0.55,0.55,1.09
