stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,57.21,4.09,0
72hpf,0,0,0,0,26.74,1.07,0
21Day,0,2.68,0,0,9.37,1.34,1.34
3Month,0.32,0.96,0.32,0.32,0.96,0,0
22Month,0.55,4.92,0,1.64,0,0,0.55
