stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
72hpf,0,0,0,0,2.14,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34
3Month,0,0.64,0,0,0,0,0.32,0
22Month,0.55,6.56,0.55,3.28,0,0.55,0.55,0
