stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
72hpf,0,0,0,0,2.14,0,2.14
21Day,1.34,0,0,0,0,0,1.34
3Month,0,0,0.64,0.32,0,0,0
22Month,1.09,0.55,0.55,0,0,0.55,0.55
