stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,1.07,0
21Day,0,0,0,2.68,0,0,0
3Month,1.28,0.32,35.51,0.32,0.32,0,0.32
22Month,0,0,3.28,0,0,0,0
