stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Stromal
72hpf,0,0,0,0,2.14,1.07,0
21Day,0,14.72,1.34,0,16.06,0,6.69
3Month,0.64,3.2,0,0.64,20.48,0.32,0.32
22Month,0,0.55,0,0,7.65,0,0.55
