stage,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,4.09
72hpf,2.14,0,1.07,1.07,1.07,0
21Day,8.03,1.34,2.68,2.68,0,2.68
3Month,0,0,0.64,0,0,0
