stage,Endothelial,Epithelial,Immune,Neuron,Stromal
24hpf,0,0,0,12.26,4.09
72hpf,0,0,0,5.35,1.07
21Day,0,0,0,4.02,4.02
22Month,0.55,7.65,0.55,0,1.09
