stage,Epithelial,Erythroid,Germ,Stromal
24hpf,4.09,0,0,0
72hpf,6.42,0,0,0
21Day,8.03,0,0,2.68
3Month,0.64,0,0.32,0
22Month,1.09,0.55,0,0
