stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,0,0,0,0,0,4.09
72hpf,0,0,0,0,2.14,0
21Day,0,0,0,0,1.34,0
3Month,0,0.32,0.32,0,0,0
22Month,1.09,0,0,0.55,0,0
