stage,Epithelial,Erythroid,Muscle,Neuron,Stromal
24hpf,0,0,0,16.35,0
72hpf,0,0,1.07,36.37,0
21Day,1.34,2.68,1.34,18.74,2.68
22Month,1.09,0,0,0,0.55
