stage,Epithelial,Germ,Muscle,Neuron,Stromal
24hpf,0,0,0,0,4.09
72hpf,0,0,0,4.28,28.88
21Day,1.34,0,2.68,4.02,13.39
3Month,0,0.64,0,0,0.96
