stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
24hpf,0,0,0,0,0,32.69,8.17
72hpf,0,10.7,0,0,0,10.7,0
21Day,0,9.37,2.68,0,1.34,2.68,5.35
3Month,0,0.32,0,0,0,0,0
22Month,1.09,7.65,0,1.64,2.19,0.55,1.64
