stage,Epithelial,Germ,Neuron,Other
24hpf,8.17,0,8.17,0
72hpf,2.14,0,0,0
21Day,4.02,0,2.68,0
3Month,0.96,0.64,0,0
22Month,6.01,0,0,0.55
