stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
72hpf,0,1.07,0,63.12,0,1.07,0,0,1.07
21Day,0,2.68,0,159.29,0,4.02,0,2.68,2.68
3Month,0.32,6.08,1.28,61.11,0,0.64,0,0.64,0.64
22Month,0,18.59,1.09,124.09,2.19,0.55,0.55,0,1.09
