stage,Endothelial,Epithelial,Germ,Muscle,Neuron
24hpf,4.09,20.43,0,0,12.26
72hpf,1.07,4.28,0,0,2.14
21Day,0,0,0,1.34,0
3Month,0,0.32,1.28,0,0
