stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,4.09,0,0,0,0,4.09
72hpf,1.07,0,0,0,0,5.35
21Day,1.34,1.34,0,1.34,0,12.05
3Month,6.4,0,0.96,0.64,0.32,0.32
22Month,3.83,0,0,0,0,0
