stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,20.43,0,0,0,0,0,0,0
72hpf,7.49,2.14,0,0,22.47,20.33,1.07,3.21
21Day,4.02,0,0,0,13.39,0,0,6.69
3Month,3.2,0,2.24,0,0,0,0,0.32
22Month,6.56,0,0,1.09,0,0,0,0
