stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,12.26,0,0
72hpf,0,3.21,0,0,0,2.14,1.07,0
21Day,0,2.68,0,0,0,6.69,0,0
3Month,8.32,0,0.96,1.28,0.96,0,0.96,0
22Month,14.21,0,0,2.19,0,0,0.55,1.64
