stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
24hpf,0,0,0,0,4.09,0,0,0
3Month,0,7.68,0,3.2,14.08,0,0.32,0.64
22Month,0.55,173.84,0.55,0,22.96,0.55,0,1.09
