stage,Endothelial,Epithelial,Germ,Neuron,Stromal
24hpf,0,0,0,4.09,4.09
72hpf,0,1.07,0,4.28,2.14
21Day,0,0,0,2.68,0
3Month,0.32,3.2,0.32,0,0.32
22Month,0,3.83,1.64,0,0.55
