stage,Epithelial,Germ,Muscle,Secretory,Stromal
24hpf,4.09,0,0,0,4.09
72hpf,4.28,0,0,0,0
3Month,0.96,37.43,0.32,0.32,0.32
22Month,0,0.55,0,0,0
