stage,Epithelial,Muscle,Secretory,Stromal
24hpf,20.43,0,0,0
72hpf,20.33,1.07,0,1.07
21Day,10.71,0,1.34,0
3Month,2.56,0,0,0.32
22Month,5.47,0,0,0
