stage,Epithelial,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,4.09,0,0
72hpf,5.35,1.07,1.07,0,1.07,3.21
21Day,4.02,0,0,0,0,2.68
3Month,0.32,0,0,0,0,0.32
