stage,Epithelial,Erythroid,Germ,Immune,Muscle,Stromal
72hpf,0,1.07,0,0,0,0
21Day,0,1.34,0,1.34,0,1.34
3Month,1.28,0,0.32,0,10.88,0
22Month,1.64,0,0,0,22.96,0
