stage,Epithelial,Immune,Neuron,Secretory,Stromal
24hpf,0,0,4.09,0,4.09
72hpf,1.07,0,0,0,9.63
21Day,0,0,1.34,1.34,16.06
3Month,0,0.32,0,0,0.64
22Month,0,0,0,0,4.37
