stage,Endothelial,Epithelial,Germ,Immune,Neuron,Stromal
24hpf,0,16.35,0,0,20.43,4.09
72hpf,1.07,16.05,0,1.07,2.14,2.14
21Day,0,24.09,0,1.34,1.34,0
3Month,0.32,2.88,1.92,0,0,0
22Month,0,1.64,0,0,0,0
