stage,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,0,0,0,8.17,0,4.09
72hpf,0,0,0,53.49,0,3.21
21Day,1.34,0,1.34,33.46,0,1.34
3Month,0,0.32,0.32,0,0,0
22Month,6.01,0.55,0,0,1.09,0.55
