stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,0,0,0,4.09
72hpf,0,4.28,0,0,3.21,0,0,2.14
21Day,0,17.4,1.34,2.68,1.34,0,0,0
3Month,0.32,14.4,0,2.88,0.64,0,0.32,0.32
22Month,0.55,59.04,0.55,2.19,0,0.55,0.55,1.09
