stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory
24hpf,0,0,0,0,4.09,0,0
72hpf,0,2.14,0,0,42.79,0,0
21Day,0,0,0,1.34,8.03,0,0
3Month,0.32,0,0.96,0.32,0.32,0,0
22Month,0,0,0.55,0,0,0.55,0.55
