stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,20.43,0,0,4.09,0,0,0,0
72hpf,162.61,0,0,25.67,6.42,2.14,0,1.07
21Day,174.01,1.34,1.34,5.35,5.35,0,2.68,1.34
3Month,11.84,0,5.76,67.51,0.64,0,0.64,0.96
22Month,8.2,0,12.57,62.87,0,0,0.55,0
