stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,20.43,4.09,0,0
72hpf,2.14,0,0,2.14,146.56,0,0,37.44
21Day,21.42,2.68,0,2.68,64.25,1.34,2.68,21.42
3Month,1.92,0,0.32,0,0,0,0,1.92
22Month,6.56,0,0.55,0,0,0,0,1.09
