stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron
72hpf,0,3.21,1.07,0,0,34.23
21Day,0,0,1.34,0,0,24.09
3Month,0,1.6,0,0,0.32,0
22Month,1.09,4.37,0,6.01,0,0
