stage,Epithelial,Immune,Neuron,Secretory,Stromal
24hpf,4.09,0,0,0,0
72hpf,0,0,20.33,1.07,5.35
21Day,6.69,0,17.4,1.34,6.69
3Month,5.44,1.6,0,0,0.32
22Month,9.29,2.19,0,1.09,0.55
