stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
24hpf,4.09,4.09,0,4.09,8.17,4.09,4.09
21Day,5.35,0,1.34,1.34,0,0,1.34
22Month,5.47,0,0.55,0,0,1.64,0.55
