stage,Endothelial,Epithelial,Immune,Muscle,Neuron
24hpf,4.09,0,0,0,12.26
72hpf,0,4.28,0,0,7.49
21Day,0,1.34,1.34,0,1.34
3Month,0,0.96,0.32,0.32,0
