stage,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,4.09,0,0,61.3,4.09
72hpf,1.07,0,0,12.84,0
21Day,2.68,2.68,0,10.71,1.34
3Month,1.6,0.32,0.32,0,0
22Month,3.28,0.55,0.55,0.55,0.55
