stage,Epithelial,Germ,Neuron,Stromal
24hpf,0,0,32.69,0
72hpf,0,0,14.98,1.07
21Day,0,0,4.02,0
3Month,0,0.64,0,0
22Month,1.09,4.37,0,0.55
