stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron
72hpf,0,1.07,0,0,0,0
21Day,0,2.68,0,0,0,4.02
3Month,0.32,3.2,0.96,0.32,0.32,0
22Month,0,3.28,1.09,0,0,0.55
