stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,8.17,0,8.17
72hpf,2.14,0,0,7.49,0,12.84
21Day,0,0,1.34,2.68,2.68,26.77
3Month,0,0.64,0,0,0,0
22Month,1.64,0,0,0,0,1.09
