stage,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,20.43,0,8.17
72hpf,0,0,1.07,5.35,1.07,3.21
21Day,0,0,0,1.34,0,0
3Month,0.32,0.32,0.32,0,0,0
