stage,Epithelial,Erythroid,Immune,Muscle,Other
72hpf,1.07,0,0,0,0
21Day,2.68,0,1.34,0,0
3Month,2.88,0.32,2.24,0.32,0
22Month,1.09,0,1.64,0,0.55
