stage,Endothelial,Epithelial,Germ,Immune,Muscle,Stromal
24hpf,0,0,0,4.09,0,0
72hpf,2.14,0,0,1.07,0,0
21Day,0,0,0,0,0,2.68
3Month,0,1.92,0.96,1.6,0.96,0.64
22Month,0,2.73,0,0,0,0
