stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory
21Day,4.02,0,0,5.35,0,0
3Month,10.24,0,1.6,96.3,0.32,0.64
22Month,13.67,0.55,0.55,120.26,0.55,0
