stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron
72hpf,2.14,3.21,0,0,1.07,0
21Day,0,5.35,2.68,0,6.69,0
3Month,0.64,2.56,0,0.64,2.56,0.32
