stage,Epithelial,Immune,Muscle,Neuron,Other
72hpf,0,0,1.07,3.21,0
21Day,0,0,1.34,9.37,0
3Month,0.32,0.32,0,0,0
22Month,3.28,0,0,0.55,0.55
