stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Stromal
72hpf,0,1.07,0,0,0,0,0
21Day,8.03,1.34,0,2.68,0,0,0
3Month,24.96,0.64,5.12,16.96,0.96,0,0.32
22Month,32.25,0,3.83,18.59,1.64,1.64,1.64
