stage,Endothelial,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
24hpf,0,4.09,0,0,0,0,0
3Month,0.32,20.16,0.64,0.96,0.32,0,0.96
22Month,0,14.76,80.36,3.28,1.09,0.55,1.64
