stage,Epithelial,Immune,Other,Secretory,Stromal
72hpf,1.07,0,0,0,0
21Day,5.35,0,0,0,0
3Month,17.28,1.28,0.32,0.32,0.32
22Month,13.12,0.55,0.55,0,1.09
