stage,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,0,4.09,36.78,0,4.09
72hpf,0,0,3.21,0,5.35
21Day,1.34,0,0,0,5.35
3Month,0.32,0,0,0.32,0
