stage,Epithelial,Erythroid,Neuron,Other,Stromal
24hpf,4.09,0,4.09,0,0
72hpf,0,0,14.98,0,1.07
21Day,0,1.34,24.09,0,1.34
3Month,1.28,0,0.64,0,0
22Month,1.64,0,0,0.55,0.55
