stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory
24hpf,0,4.09,0,0,0,0
72hpf,0,3.21,1.07,0,2.14,0
21Day,1.34,1.34,0,1.34,1.34,1.34
3Month,0,2.88,0,0.32,0,0.32
22Month,0,0.55,0,1.09,0,0
