stage,Epithelial,Germ,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,53.12,0,4.09
72hpf,1.07,0,2.14,1.07,0,1.07
21Day,1.34,0,0,0,0,1.34
3Month,0,0.32,0,0,0.32,0
22Month,1.09,0,0,0,0.55,0
