stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Other,Stromal
21Day,0,6.69,0,1.34,1.34,0,1.34
3Month,0.32,7.04,0.64,17.92,0,0,0.96
22Month,0,6.56,1.09,20.77,0,0.55,0
