stage,Endothelial,Epithelial,Erythroid,Immune,Stromal
24hpf,0,0,4.09,0,0
72hpf,0,0,35.3,0,0
21Day,0,2.68,29.45,0,0
3Month,0,1.6,0,0,0.32
22Month,0.55,8.2,0.55,1.64,0
