stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,4.09,65.38,0,0,0,0,36.78,0,12.26
72hpf,0,23.54,1.07,0,0,1.07,19.26,0,3.21
21Day,0,2.68,0,1.34,0,0,0,1.34,1.34
3Month,0.64,16,0,263.64,5.44,0.64,0.64,2.88,2.56
22Month,0,3.83,0,30.07,0.55,0.55,0,1.09,0.55
